
HELI-a
ADD...	1.47039	3.16973	6.66238
MUL...	5.3611	25.7746	117.091
DIV....	8.12623	38.1754	178.018
SHL...	2.89278	8.27944	22.1123
EQ..	0.835014	1.23346	2.30838
LAND...	0.665348	1.14712	4.68801
BMUL..	0.600547	1.13091	2.23164
BMUX...	1.22101	2.30462	4.53884

HELI-s
ADD...	1.5011	3.20825	6.74755
MUL...	5.39375	27.2582	122.554
DIV....	8.17557	40.8725	185.18
SHL...	2.87585	8.36009	23.3667
EQ..	0.855335	1.2047	2.31871
LAND...	0.685907	1.14846	4.67032
BMUL..	0.615064	1.13515	2.26877
BMUX...	1.1933	2.29115	4.52815

SEAL-a
ADD...	1.48436	3.18313	6.55737
MUL...	6.31477	36.4794	122.701
DIV....	7.91183	38.09	163.464
SHL...	2.45331	5.72905	19.1542
EQ..	0.790544	1.63982	2.73973
LAND...	1.32915	2.32158	4.60551
BMUL..	0.585057	1.10756	2.19647
BMUX...	0.604156	1.12543	2.19719

SEAL-s
ADD...	1.47165	3.21074	6.53743
MUL...	6.34013	34.5871	122.323
DIV....	7.93726	36.8278	161.033
SHL...	2.43794	5.72475	18.128
EQ..	0.805132	1.64578	2.72082
LAND...	1.36017	2.33373	4.70799
BMUL..	0.589544	1.10629	2.19221
BMUX...	0.600566	1.12409	2.20535

TFHE
ADD...	405452	887825	1.84882e+06
MUL...	1.72082e+06	8.59898e+06	2.8899e+07
DIV....	2.34937e+06	1.04086e+07	4.21563e+07
SHL...	733168	1.8638e+06	5.22931e+06
EQ..	182463	373405	760798
LAND...	180195	372566	759871
BMUL..	96412.2	193231	384464
BMUX...	183756	366202	715765
